sample path, expected
Samples/CMDS/CMDS(end).aps, 42
Samples/TYPE/TYPE.aps, 5
Samples/TYPE/TYPES.aps, 43 
Samples/ER(2023_3).aps, 5
Samples/prog7.aps, 5
Samples/DEF/DEF(const).aps, 3
Samples/DEF/DEF(VAR).aps, 5
Samples/DEF/DEF(funRec).aps, 6
Samples/DEF/DEF(fun).aps, 50
Samples/DEF/DEF(proc).aps, 50
Samples/DEF/DEF(ProcRec).aps, 1
Samples/EXPR/EXPR(if_1).aps, 0
Samples/EXPR/EXPR(or_10).aps, 1
Samples/EXPR/EXPR(app_mul).aps, 25
Samples/CMDS/CMDS(defs).aps, 1
Samples/EXPR/EXPR(app_f).aps, 50
Samples/EXPR/EXPR(not_0).aps, 1
Samples/EXPR/EXPR(if_0).aps, 1
Samples/EXPR/EXPR(lt_0).aps, 0
Samples/EXPR/EXPR(num).aps, 42
Samples/EXPR/EXPR(and_01).aps, 11
Samples/EXPR/EXPR(eq_1).aps, 1
Samples/EXPR/EXPR(app_sub).aps, 25
Samples/EXPR/EXPR(and_11).aps, 10
Samples/EXPR/EXPR(app_add).aps, 43
Samples/EXPR/EXPR(app_div).aps, 2
Samples/EXPR/EXPR(or_01).aps, 1
Samples/EXPR/EXPR(not_1).aps, 0
Samples/EXPR/EXPR(or_11).aps, 1
Samples/EXPR/EXPR(or_00).aps, 0
Samples/EXPR/EXPR(id).aps, 3
Samples/EXPR/EXPR(and_10).aps, 11
Samples/EXPR/EXPR(lt_1).aps, 1
Samples/EXPR/EXPR(and_00).aps, 11
Samples/EXPR/EXPR(eq_0).aps, 0
Samples/EXPR/EXPR(abs).aps, 42
Samples/prog9.aps, 2
Samples/prog10.aps, 56
Samples/ER(2023_1).aps, 5
Samples/ER(2024_1).aps, 3
Samples/STAT/STAT(echo).aps, 42
Samples/STAT/STAT(set).aps, 5
Samples/STAT/STAT(if).aps, 5
Samples/STAT/STAT(call).aps, 50
Samples/STAT/STAT(while).aps, 10
Samples/prog1.aps, 20
Samples/prog6.aps, 9
Samples/ER(2023_2).aps, 3
Samples/prog8.aps, 3
Samples/ER(2024_2).aps, 6
Samples/prog4.aps, 100
Samples/prog3.aps, 30
Samples/prog0.aps, 42
Samples/ARG/ARGS.aps, 50
Samples/prog2.aps, 22
Samples/prog5.aps, 2
Samples/APS0/fact.aps, 120
Samples/APS0/fib.aps, 55
Samples/APS0/isEven.aps, 10
Samples/APS0/pgcd.aps, 6
Samples/APS0/pow.aps, 256
Samples/APS0/sum.aps, 55
Samples/APS1/proc.aps, 7
Samples/APS1/set.aps, 30
Samples/APS1/while.aps, 15
